,feature,weight
1139,mvn,1.0
1862,swi,0.9554634049089886
1798,sub,0.83474898538939
449,cpyle,0.7738270478463958
1735,strgt,0.7018172404762949
1038,movs,0.6354440266114211
1198,orr,0.6170393574928071
101,and,0.5606470085844982
1832,subgt,0.5493052325136765
1024,movcs,0.5441998958733092
675,ldrb,0.5406445175754353
335,bxeq,0.5372098250399773
729,ldrd,0.5268343726657106
387,cmn,0.5178933613196378
1831,subges,0.48084184612719916
1226,orrcs,0.47289847973356103
428,cmpcc,0.45429993785691714
1028,movge,0.4051112734652932
1826,subcs,0.3795673454272185
206,bcc,0.36946844477544394
1644,strb,0.36807840971058253
450,cpyls,0.3638377158430093
587,ldmdb,0.3636982971725809
84,adr,0.35884999515933974
1036,movnes,0.3390390302774969
1029,movgt,0.33412766056788235
646,ldr,0.32834959653945567
1332,rsbcs,0.3238896007942888
1946,tsthi,0.27994566181450203
1677,strbgt,0.27149059990472524
403,cmp,0.2703357614451667
2725,vselge.f64,0.2659934824280378
320,bx,0.26191644798039126
1556,stmdbge,0.2612060557519409
367,clz,0.25824558464877173
1579,stmiage,0.25410254818901745
285,ble,0.24450471563424364
1765,strhcs,0.24057236691075692
295,blne,0.23776533324851812
705,ldrbgt,0.23057975979147452
1778,strle,0.22516688029751086
48,addcc,0.22317576462374425
1830,subge,0.2162699049416755
208,bcs,0.2152948472178893
287,bleq,0.21520679192274578
508,eors,0.21206533700744704
1305,rsb,0.20902459636295462
179,asrs,0.20315087455853073
447,cpygt,0.2028362517912303
1684,strbpl,0.20026231620517002
235,bhi,0.19931440805783035
701,ldrbcc,0.19438004591545932
1736,strh,0.1933303733946797
760,ldrh,0.19040076393287242
1676,strbge,0.18950201955400187
1031,movle,0.184343020642397
1035,movne,0.17888368129034674
1114,mul,0.17612296106664818
515,fstmiax,0.17308704269108785
303,blx,0.17096196944326697
1118,mul.gt,0.16610536296694384
594,ldmdbge,0.16318031931109658
438,cmpne,0.16133191690836154
703,ldrbeq,0.1574315492977228
1451,smlawteq,0.15225017077921163
814,ldrls,0.14927197860376845
2381,vmax.u16,0.14737727937783426
1702,strd,0.14385775831886366
1688,strbteq,0.14266464485604957
2744,vshr.s32,0.14227549190833108
55,addgt,0.14178850406084584
433,cmphi,0.1379427770394145
1561,stmdblt,0.13689991245423225
517,it,0.13254114495037145
759,ldrgt,0.13189830736732483
2151,vceq.i8,0.1304643527054112
655,ldr.ge.w,0.1274011299152277
1635,str.w.ge,0.12487495213529817
542,ldcl,0.12437485281189507
1587,stmiapl,0.12247292203315738
49,addcs,0.12234972506678689
643,ldmibpl,0.12199657880519285
443,cpycc,0.1208990194559849
1927,tbh,0.12038341416811767
1924,sxthlt,0.11836751954746963
1355,rsceq,0.11574204052518192
1949,tstne,0.11509550349999886
2217,vcvt.gt.f64.u32,0.11464549589191195
1026,moveq,0.11455214429093423
1780,strlt,0.11301663895765783
2142,vbic.i16,0.11195818896038347
815,ldrlt,0.11165496933375886
993,mov,0.10836026455489742
674,ldr.w,0.1015731365442747
343,bxne,0.1006408965575655
292,blls,0.10052869344003391
676,ldrb.cc,0.09998196144452517
846,ldrsh,0.09704886133366755
69,adds,0.0962989137408423
2729,vshl.I8,0.09501784998863698
1573,stmia.ne,0.09398547155781892
710,ldrbmi,0.0935874986959448
135,andhi,0.09236055618891773
1631,str.w,0.09156919847582917
430,cmpeq,0.09120086421561403
1764,strhcc,0.08914099529055983
